nrmse,material_w_bias_0,material_w_bias_1
0.5597315953646572,0.0,0.001
0.5607781106042675,0.0,0.01
0.5610408246322511,0.0,0.005
0.5620610129838465,0,0
0.562070662841733,0.0,0.0005
0.5622966018153837,0.0,5e-05
