nrmse,w_in_bias_mu,w_in_bias_scale
0.8935620590185883,0,0.3
0.8945362720000042,0,0.1
0.8973731602307123,0,1
0.8996353891769282,0,0.5
0.899727910551235,0,0.05
0.9085228877405318,0,0.7
