nrmse,spectral_radius,w_in_mu,w_in_scale
0.8819894980913259,0.9,0,0.05
0.8821323141921451,0.9,0,0.3
0.8870655564057945,0.5,0,0.05
0.9120528956608269,0.5,0,0.3
0.9606770798125588,0.1,0,0.05
0.9634415391559962,0.1,0,0.3
