nrmse,local_heart_weights_mu,local_heart_weights_scale,local_manhattan
0.8828854061060157,0,1,5
0.8835543326123089,0.6,0.4,2
0.8850391580924427,0,1,4
0.8850982578550992,0.6,0.1,2
0.8857663736724279,0,1,2
0.8870788825857915,0,1,3
0.8900775173022404,0.6,0.1,3
0.8905824465176428,0.6,0.4,3
0.8956056860905864,0.6,0.1,1
0.8960418044589571,0.6,0.4,4
0.8962551421699576,0,1,1
0.8967994565422435,0.6,0.1,4
0.8988009377535057,0.6,0.4,1
0.8989018566086309,0.6,0.4,5
0.9018294003894582,0.6,0.1,5
