nrmse,leaky_alpha_min,leaky_alpha_max
0.4781834185722205,0.3,0.99
0.4801366423520157,0.6,0.99
0.48015910984715354,0.6,0.6
0.480201223928016,0.99,0.6
0.4804644722236899,0.99,0.3
0.4806592152518393,0.99,0.01
0.48091114975729954,0.01,0.99
0.48130065231047003,0.3,0.6
0.48203313696405764,0.6,0.3
0.48268507031063296,0.01,0.6
0.48273668348903587,0.6,0.01
0.48287107094632664,0.3,0.3
0.4895306831280038,0.99,0.99
0.4901146318093356,0.3,0.01
0.49142626660871463,0.01,0.3
0.709915232359178,0.01,0.01
