nrmse,d
0.3457926371826836,5
0.35512050328719635,2
0.35581024307354164,6
0.3564990803913672,3
0.3568951797692185,7
0.36232847421925757,4
0.3644501397061011,8
0.3711784605528071,10
0.37218042639443216,9
0.3801155164821869,12
0.3815929735475674,13
0.38159798660334754,11
0.39657730291718374,14
0.3991852187848935,15
0.40098575920618,16
0.40776285593439265,17
0.4093786286889031,19
0.4132121069886044,18
0.41415659408552713,20
0.4252437537239486,21
0.4295042368731876,22
0.4381674074194961,24
0.4422748851296795,23
0.4423431575082353,25
0.4434996787401736,26
0.4549361801987928,28
0.46364333763071197,29
0.4648074412990659,27
0.47622263305112317,30
0.6069595845234385,1
