nrmse,pca_dim
0.35009079335527715,50
0.3506008104408838,40
0.35090168130019433,30
0.3513650653835596,45
0.35250249364291586,35
0.3547947746600189,25
0.3572740284343686,20
0.3788391018939423,15
0.4676029921641566,10
0.6226758407806474,5
0.6922171407377293,3
