nrmse,material_sigma
0.4744240680613781,0.8
0.47458718529980676,1.2
0.4747461759143822,0.4
0.4749223973199452,0.6
0.4752449874311431,1
0.4755447664800235,1.4
0.47565716390327506,1.6
0.47574997748051673,0.1
