nrmse,material_w_in_0,material_w_in_1
0.5611000816422461,0.0,0.04
0.5631397086284279,0.0,0.05
0.5633421956836966,0.0,0.02
0.5799118100811896,0.0,0.01
0.5888168601581523,0.0,0.005
0.5900730507464474,0.0,0.001
