nrmse,spectral_radius,material_w_in_0,material_w_in_1
0.33634746200632176,0.0,0.0,0.04
0.3371915109634297,0.2,0.0,0.04
0.3380090922293741,0.0,0.0,0.1
0.33899828739004934,0.4,0.0,0.1
0.33935597571625375,0.0,0.0,0.01
0.3395314605902633,0.2,0.0,0.1
0.3397424494020563,0.4,0.0,0.04
0.3398159368693654,0.2,0.0,0.01
0.3405219636355195,0.6,0.0,0.04
0.3411226263707958,0.4,0.0,0.01
0.3415686334284298,0.8,0.0,0.01
0.34202580630922,0.6,0.0,0.01
0.34222011014986237,0.6,0.0,0.1
0.34304177502082767,0.8,0.0,0.1
0.3447379077167019,0.8,0.0,0.04
0.34563365874609775,1.0,0.0,0.04
0.34646119220615984,1.0,0.0,0.1
0.34659596109054597,1.0,0.0,0.002
0.34880121842241935,1.0,0.0,0.01
0.3516410853926899,1.0,0.0,0.001
0.3573218524467092,0.8,0.0,0.002
0.3630951736041413,0.6,0.0,0.002
0.367377235516819,0.4,0.0,0.002
0.36775040609957027,0.8,0.0,0.001
0.3703805367856716,0.2,0.0,0.002
0.37041726385913476,0.0,0.0,0.002
0.37255123213856933,0.6,0.0,0.001
0.3751897735529913,0.4,0.0,0.001
0.3766880184502215,0.0,0.0,0.001
0.37692688261963336,0.2,0.0,0.001
