nrmse,d
0.3323742466909771,3
0.33668059605080186,4
0.33695875015666044,2
0.3395860139057189,5
0.34095760978078815,6
0.3443212601191368,1
0.34478063794695113,7
0.34504892586924085,8
0.3483878737233449,9
0.3516457480466527,11
0.3519910974688359,10
0.35481515422675786,12
0.35830673591271456,13
0.3587871001806452,14
0.3626439227495608,15
0.36285390852391186,16
0.36443066607669916,17
0.36647578651954527,18
0.36876815318720935,20
0.3694278279109283,19
0.3727070897085889,21
0.3738101236380049,22
0.3749164758286997,23
0.3763565908605937,24
0.3781117076774457,25
