nrmse,spectral_radius,material_w_in_0,material_w_in_1
0.32445569196761154,0.0,0.0,0.1
0.3246153654811003,0.0,0.0,0.05
0.32556257815113765,0.1,0.0,0.05
0.3256458396068065,0.0,0.0,0.001
0.3256916636417059,0.1,0.0,0.1
0.3258982226178659,0.3,0.0,0.1
0.32640269664831567,0.0,0.0,0.005
0.32656950365741183,0.0,0.0,0.01
0.3267345936714776,0.1,0.0,0.01
0.3270948250933488,0.5,0.0,0.1
0.32712154893733236,0.3,0.0,0.05
0.3271483707660335,0.1,0.0,0.005
0.32717981872814933,0.1,0.0,0.001
0.3283074929725436,0.5,0.0,0.05
0.32852516632341877,0.7,0.0,0.1
0.328909930392665,0.3,0.0,0.001
0.32980976364525727,0.3,0.0,0.01
0.32982584283855465,0.3,0.0,0.005
0.33044964719934017,0.5,0.0,0.01
0.3305737057853358,0.7,0.0,0.05
0.33107167413676325,0.5,0.0,0.001
0.33174452592677783,0.9,0.0,0.1
0.33223072986017166,0.5,0.0,0.005
0.33298946256161194,0.7,0.0,0.01
0.3331491624560288,0.7,0.0,0.005
0.3334800701159051,0.9,0.0,0.05
0.33574820396076,0.7,0.0,0.001
0.3366862332115117,0.9,0.0,0.005
0.3368066374083838,0.9,0.0,0.01
0.3386896848620009,0.9,0.0,0.001
0.3959999717606261,0.9,0.0,0.0001
17.124010282951282,0.3,0.0,0.0001
24.11223818501825,0.7,0.0,0.0001
37.441652919853176,0.5,0.0,0.0001
60.09552305469061,0.0,0.0,0.0001
1394.2907797108212,0.1,0.0,0.0001
